Cyprus	2150.0	1850.0	1189265	9251.0	Nicosia	55014	111.0	cy	12	20	26	5
Bosnia & Herzegovina	1545.0	1440.0	3511372	51129.0	Sarajevo	275524	141.5	ba	13	21	36	6
Portugal	453.0	1503.0	10276617	92212.0	Lisbon	505526	100.05	pt	14	22	26	5
Iceland	628.0	170.0	364134	102775.0	Reykjavik	131136	273.0	is	12	22	36	7
Malta	1361.0	1840.0	493559	316.0	Valletta	5827	0.61	mt	18	23	31	6
Russia	2100.0	800.0	146745098	1.7098246E7	Moscow	12506468	2511.0	ru	13	25	30	8
Greece	1745.0	1738.0	10768477	131957.0	Athens	745514	38.96	gr	17	22	33	5
Austria	1469.0	1220.0	8902600	83879.0	Vienna	1889083	414.65	at	17	21	27	5
Latvia	1709.0	772.0	1919968	64589.0	Riga	633071	324.0	lv	13	25	23	8
Netherlands	1124.0	962.0	17424978	41865.0	Amsterdam	851573	165.76	nl	17	25	23	5
Sweden	1545.0	660.0	10333456	450295.0	Stockholm	94237	188.0	se	11	21	35	6
Kosovo	1634.0	1500.0	1810463	10887.0	Pristina	204725	572.0	kosovo	13	21	31	5
Monaco	1135.0	1405.0	38300	2.2	Monaco	38682	2.02	mc	15	22	28	8
Andorra	904.0	1430.0	77543	467.63	Andorra la Vella	22256	12.0	ad	18	25	31	6
Ireland	797.0	825.0	6572728	84421.0	Dublin	553165	114.99	ie	18	24	28	8
Luxembourg	1133.0	1106.0	626108	2586.4	Luxembourg City	116323	51.46	lu	12	24	24	6
Liechtenstein	1230.0	1250.0	38557	160.0	Vaduz	5696	17.3	li	16	20	23	5
Poland	1628.0	1015.0	38386000	312696.0	Warsaw	1777972	517.24	pl	15	20	36	8
Slovenia	1398.0	1324.0	2094060	20273.0	Ljubljana	292988	163.8	si	11	21	27	5
Bulgaria	1711.0	1498.0	7000039	11993.6	Sofia	1241675	492.0	bg	14	20	24	7
France	1006.0	1134.0	67076000	640679.0	Paris	2203817	105.4	fr	12	23	28	5
Lithuania	1754.0	890.0	2794329	65300.0	Vilnius	580020	401.0	lt	14	22	32	8
Serbia	1620.0	1400.0	6963764	88361.0	Belgrade	1166763	359.9	rs	13	24	36	5
Croatia	1455.0	1330.0	4076246	56594.0	Zagreb	790017	641.0	hr	15	20	36	7
Romania	1820.0	1410.0	19401658	238397.0	Bucharest	1926334	228.0	ro	14	21	33	5
Hungary	1572.0	1248.0	9772756	93030.0	Budapest	1752286	525.2	hu	15	21	34	8
Ukraine	1940.0	1080.0	42030832	603628.0	Kiev	2950800	839.0	ua	17	25	31	6
United Kingdom	958.0	972.0	67886004	242495.0	London	8909081	1572.0	gb	11	25	32	7
Belarus	1823.0	919.0	9491800	207595.0	Minsk	1995000	409.5	by	11	25	24	7
Switzerland	1170.0	1250.0	8570146	41285.0	Bern	133791	51.62	ch	11	21	32	8
Albania	1587.0	1564.0	2845955	28748.0	Tirana	895160	41.8	al	13	21	34	7
Spain	703.0	1482.0	47007367	505990.0	Madrid	3141991	604.3	es	12	20	23	7
Czech Republic	1410.0	1115.0	10649800	78866.0	Prague	1301132	298.0	cz	13	20	27	8
Turkey	2130.0	1600.0	83154997	783356.0	Ankara	5700000	24521.0	tr	11	24	30	6
Belgium	1090.0	1045.0	11515793	30689.0	Brussels	1175173	131.68	be	12	23	36	8
Norway	1347.0	620.0	5367580	385207.0	Oslo	693491	480.75	no	17	24	34	6
Finland	1748.0	598.0	5526774	338424.0	Helsinki	650058	715.48	fi	18	20	24	6
Denmark	1370.0	823.0	5822763	42933.0	Copenhagen	602504	89.78	dk	15	20	33	7
North Macedonia	1647.0	1535.0	2077132	25713.0	Skopje	544086	571.46	mk	11	22	23	8
Italy	1305.0	1532.0	60317116	301340.0	Rome	7186607	1285.0	it	13	21	26	6
San Marino	1328.0	1434.0	33344	61.2	San Marino	4044	7.09	sm	16	21	31	6
Germany	1376.0	995.0	83149300	357022.0	Berlin	3711930	891.7	de	13	25	27	8
Montenegro	1568.0	1512.0	631219	13812.0	Podgorica	237137	108.0	me	14	25	24	7
Estonia	1728.0	646.0	1328360	45227.0	Tallinn	434562	159.2	ee	17	21	26	8
