1	Louvre Museum	Paris	Has existed since 1793	Famously hosts the Mona Lisa	Had 10 million visitors in 2018	www.louvre.fr	louvre
2	Notre Dame Cathedral	Paris	Has existed since 1345	Inspiration for the "Hunchback of Notre-Dame"	Had an average of 13 to 14 million visitors per year	http://www.notredamedeparis.fr/	cathedral
3	Arc de Triomphe	Paris	Has existed since 1836	Hosts "The Tomb of the Unknown Soldier" from WW1	Has an average of 1.75 million visitors per year	http://www.paris-arc-de-triomphe.fr/	arc
1	Big Ben	London	Has existed since 1859	Its official name is Elizabeth Tower, after the Queen	Has an average of 1.75 million visitors per year	https://www.parliament.uk/bigben	ben
2	Westminster Abbey	London	Has existed since the 16th Century	Its official name is The Collegiate Church of St Peter	It took over 3 Centuries to build	http://www.westminster-abbey.org/	abbey
3	Buckingham Palace	London	Has existed since 1720	It is the official residence of the UK Royal Family	Famously guarded by the Scottish Guard	https://www.royal.uk/royal-residences-buckingham-palace	buckingham
1	La Sagrada Familia	Barcelona	Construction of the Sagrada Familia project began in 1882, and is still not finished. The Great Pyramid, by comparison, only took 20 years.	La Sagrada Familia is a UNESCO World Heritage Site.	Gaudí believed that no man-made object should be constructed higher than the work of God. Therefore, La Sagrada Família, when completed, will tower at 170 meters (560 ft), which was intended to be one meter less than Barcelona’s highest point, Montjuïc hill.	https://sagradafamilia.org/en/	sagrada
2	Guell Park	Barcelona	Antoni Gaudí, its designer, lived in the park until he died.	The park's design is inspired by nature, which is why there are no straight lines in it.	Parc Güell’s largest attraction is a terrace that overlooks the city of Barcelona, contained by a curved bench flowing around it.	https://parkguell.barcelona/en	park
3	Casa Mila	Barcelona	The Casa Mila was made in art nouveau style. It is a style of art and architecture which embraces vivid decorative shapes and prefers curves over straight lines.	An interesting fact is that Gaudi only put lifts on every 2nd floor because he wanted the people who lived in the flats to get to know each other, the idea was thet the people on different floors should communicate with one another.	For its uniqueness, artistic and heritage value have received major recognition and in 1984 was inscribed on UNESCO World Heritage List, for its exceptional universal value.	https://www.lapedrera.com/en	house
1	Old Trafford	Manchester	Old Trafford has a heater under the grass to melt any snow that may fall on the field during the game.	It is the only stadium in England that has the prestigeous UEFA five-star rating - the ranking system for soccer venues around the world.	The pitch is made up of 97% turf (artificial grass) and 3% real grass.	https://www.manutd.com/en/visit-old-trafford	trafford
2	Castlefield	Manchester	Mamucium is generally thought to represent a Latinisation of an original Brittonic name. The Welsh name for Manchester is Manceinion and presumably derives from the original Brittonic form.	The fort measured 160 metres by 130 metres and was surrounded by a double ditch and wooden rampart. Around AD 200 the wooden rampart was replaced by stone ramparts, measuring between 2.1 metres and 2.7 metres thick.	Mamucium, also known as Mancunium, is a former Roman fort in the Castlefield area 	https://secure.manchester.gov.uk/info/511/conservation_areas/972/castlefield_conservation_area/2	castle
3	Museum of Science and Industry	Manchester	The museum was originally called the North Western Museum of Science and Industry when it opened in 1969.	The museum opened at this site on 15 September 1983 and later expanded to include the whole of the former station. Since 2007 the museum has organised an annual science festival in Manchester.	The new look building is slick and modern, whilst retaining much of its old fashioned charm, the museum being housed in the old Liverpool Road Station buildings and including the world's first railway warehouse.	https://www.scienceandindustrymuseum.org.uk/	science
